#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
875.60713,2001,1844.00587
822.103439,2001,1846.018212
927.039779,2001,1848.038969
857.071822,2001,1852.146183
904.536598,2001,1854.573336
958.719098,2001,1856.580602
939.09923,2001,1858.620538
965.974194,2001,1860.872632
982.776474,2001,1865.046443
851.119534,2001,1867.469119
1017.947628,2001,1869.551559
941.742101,2001,1871.571989
1023.239622,2001,1873.583623
937.100056,2001,1878.072711
855.309643,2001,1880.121406
947.156116,2001,1882.144132
1065.403185,2001,1884.169655
913.953611,2001,1886.612152
900.205481,2001,1890.895836
999.638607,2001,1893.011677
935.334332,2001,1895.085964
1052.19683,2001,1897.51646
1092.51212,2001,1899.524905
794.51493,2001,1903.63974
837.193959,2001,1905.678202
857.163656,2001,1908.539738
940.664394,2001,1911.221642
964.51246,2001,1913.446185
988.956961,2001,1917.953418
998.390307,2001,1920.63163
886.133138,2001,1923.077093
836.735742,2001,1925.129615
827.1901,2001,1927.210074
935.632955,2001,1931.91043
742.357434,2001,1934.019882
887.634497,2001,1936.150364
856.477928,2001,1938.422118
708.55713,2001,1941.691336
1033.848338,2001,1946.158451
759.635064,2001,1948.211574
946.662986,2001,1950.301514
932.118343,2001,1952.976972
872.93139,2001,1955.112509
985.808766,2001,1959.468484
811.835005,2001,1961.505074
729.015413,2001,1963.970017
874.672288,2001,1966.193089
739.964764,2001,1968.349663
780.043116,2001,1972.72781
831.177382,2001,1974.877856
1037.197676,2001,1977.521227
926.113884,2001,1979.655471
928.166137,2001,1981.73708
986.493276,2001,1986.40482
832.771399,2001,1988.872426
1006.948622,2001,1990.964934
844.379583,2001,1993.076296
981.052711,2001,1995.173078
911.706578,2001,1999.860564
944.170366,2001,2002.015218
894.95682,2001,2004.120311
948.478069,2001,2006.384332
900.156278,2001,2008.940421
800.629454,2001,2013.142033
794.639263,2001,2015.625407
931.476739,2001,2017.746498
911.306588,2001,2020.425349
962.993379,2001,2022.530431
994.16071,2001,2026.851205
1027.029958,2001,2028.966214
955.878689,2001,2031.520993
801.343814,2001,2033.63673
847.05561,2001,2035.765273
835.564488,2001,2040.09137
782.893682,2001,2042.611703
927.596111,2001,2045.055573
830.924691,2001,2047.286798
917.105688,2001,2049.410125
799.304867,2001,2053.999085
